Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Afzalpur -34,M.Y.PATIL,Indian National Congress,55868,445,56313,35.12
Afzalpur -34,MALIKAYYA. V. GUTTEDAR.,Bharatiya Janata Party,31131,263,31394,19.58
Afzalpur -34,SHIVAKUMAR M NATIKAR,Janata Dal  (Secular),8107,46,8153,5.09
Afzalpur -34,SHIVARAJ PATIL KULALI,Aam Aadmi Party,625,1,626,0.39
Afzalpur -34,HUCCHESHWAR WATHAR GOUR,Bahujan Samaj Party,441,0,441,0.28
Afzalpur -34,K.G.POOJARI,Karnataka Rashtra Samithi,350,4,354,0.22
Afzalpur -34,R.D.PATIL.,Samajwadi Party,8605,81,8686,5.42
Afzalpur -34,RAMESH JAMADAR,Rashtriya Samaj Paksha,430,1,431,0.27
Afzalpur -34,SHAMARAY. BAKSAR HOSAMANI,Republican Party of India (A),597,0,597,0.37
Afzalpur -34,NITIN VENKAYYA GUTTEDAR,Independent,51218,501,51719,32.26
Afzalpur -34,NOTA,None of the Above,1604,4,1608,1
Aland -46,Bhojaraj,Indian National Congress,88981,527,89508,51.27
Aland -46,Maheshwari,Janata Dal  (Secular),1414,5,1419,0.81
Aland -46,Rajkumar,Bahujan Samaj Party,295,1,296,0.17
Aland -46,Shivakumar Khed,Aam Aadmi Party,454,1,455,0.26
Aland -46,Subhash Guttedar,Bharatiya Janata Party,78701,459,79160,45.34
Aland -46,Umar Farooq,Karnataka Janaseve Party,439,0,439,0.25
Aland -46,Chowhan Raju,BhartiyaBahujanKranti Dal,108,0,108,0.06
Aland -46,Dattappa,Rashtriya Samaj Paksha,75,0,75,0.04
Aland -46,Moula Sab,Communist Party of India,809,2,811,0.46
Aland -46,Apparao Patil,Independent,477,0,477,0.27
Aland -46,Pandit,Independent,145,1,146,0.08
Aland -46,Mahiboob Basha,Independent,178,0,178,0.1
Aland -46,Ratnappa,Independent,200,0,200,0.11
Aland -46,NOTA,None of the Above,1314,2,1316,0.75
Anekal -177,DR. CHINNAPPA Y. CHIKKAHAGADE,Bahujan Samaj Party,1283,2,1285,0.51
Anekal -177,MUNESHA. M,Aam Aadmi Party,812,6,818,0.32
Anekal -177,K. P. RAJU,Janata Dal  (Secular),6390,25,6415,2.55
Anekal -177,B. SHIVANNA,Indian National Congress,134435,362,134797,53.55
Anekal -177,SRINIVAS. C. HULLAHALLI,Bharatiya Janata Party,103031,441,103472,41.11
Anekal -177,ANBURAJ,Karnataka Rashtra Samithi,848,3,851,0.34
Anekal -177,BYATARAJU. N,Republican Party of India (Athawale),321,1,322,0.13
Anekal -177,GOWRAMMA. J,Independent,277,0,277,0.11
Anekal -177,G. NAGARAJU,Independent,758,0,758,0.3
Anekal -177,MUNIKRISHNAPPA MURUGA,Independent,190,0,190,0.08
Anekal -177,M. RAMESH,Independent,163,0,163,0.06
Anekal -177,NOTA,None of the Above,2349,5,2354,0.94
Arabhavi -8,ARVIND MAHADEVARAO DALWAI,Indian National Congress,23820,136,23956,12.6
Arabhavi -8,IJAJAHMAD I KOTTALAGI,Aam Aadmi Party,452,2,454,0.24
Arabhavi -8,PRAKASH RAMAPPA KALASHETTI,Janata Dal  (Secular),1207,10,1217,0.64
Arabhavi -8,BASAVANTH IRAPPA VADER,Bahujan Samaj Party,704,0,704,0.37
Arabhavi -8,BALACHANDRA LAXMANRAO JARKIHOLI,Bharatiya Janata Party,114242,1160,115402,60.7
Arabhavi -8,GULAPPA BASALINGAPPA METI,Swayam Krushi Party,698,0,698,0.37
Arabhavi -8,SHIVANAND VENKATARAO DESAI,Karnataka Rashtra Samithi,273,0,273,0.14
Arabhavi -8,ASHOK  PANDAPPA  HANAJI,Independent,309,2,311,0.16
Arabhavi -8,GURUPUTRA KEMPANNA KULLUR,Independent,484,1,485,0.26
Arabhavi -8,BASAPPA SHIVAPPA NAGANUR,Independent,917,2,919,0.48
Arabhavi -8,BHIMAPPA GUNDAPPA GADAD,Independent,43674,188,43862,23.07
Arabhavi -8,SIDDAPPA YALLAPPA HOSUR,Independent,554,2,556,0.29
Arabhavi -8,SUDHA ALLAMPRABHU HIREMATH,Independent,338,0,338,0.18
Arabhavi -8,NOTA,None of the Above,923,7,930,0.49
Arkalgud -198,B.T. JAVAREGOWDA,Aam Aadmi Party,2011,11,2022,1.04
Arkalgud -198,A. MANJU,Janata Dal  (Secular),73605,1038,74643,38.49
